Iteration,Squared_errorServiceRate,EstimateServiceRate,ActualServiceRate, Queue
0,0.1434452117884591,1,1.3787416161295971,n1
1,0.0022909047795612847,1.4266050132046197,1.3787416161295971,n1
2,0.0012648895305657944,1.4143069015996421,1.3787416161295971,n1
3,0.001066141619920082,1.4113934402734345,1.3787416161295971,n1
4,0.00115615052004364,1.4127438295876007,1.3787416161295971,n1
5,0.00104193058502182,1.4110205656946282,1.3787416161295971,n1
6,0.0012123129899037786,1.4135599014105207,1.3787416161295971,n1
7,0.000985164443710777,1.4101289454793646,1.3787416161295971,n1
8,0.001271422992770761,1.414398634972607,1.3787416161295971,n1
9,0.0011521994668153292,1.4126856799230696,1.3787416161295971,n1
10,0.0011176411543195963,1.4121727566174656,1.3787416161295971,n1
11,0.0005872724764933775,1.4029753215106027,1.3787416161295971,n1
12,0.0007450375830888338,1.4060369927177454,1.3787416161295971,n1
13,0.0005672951589869704,1.402559574878973,1.3787416161295971,n1
14,0.0009898899163715614,1.410204132182379,1.3787416161295971,n1
15,0.0006736417873667672,1.404696226266657,1.3787416161295971,n1
16,0.000826771940068256,1.4074952583348597,1.3787416161295971,n1
17,0.0007023992373937039,1.4052444317798956,1.3787416161295971,n1
18,0.0010856386663377325,1.411690647471015,1.3787416161295971,n1
19,0.0007266479582411144,1.4056980246114612,1.3787416161295971,n1
20,0.0009301426177738474,1.4092398557144297,1.3787416161295971,n1
21,0.000969016650104522,1.4098706484002046,1.3787416161295971,n1
22,0.0011199602060934309,1.412207422650484,1.3787416161295971,n1
23,0.0010216074966727577,1.4107042114039605,1.3787416161295971,n1
24,0.0011133697050085092,1.4121088111721611,1.3787416161295971,n1
25,0.0011867796361033022,1.413191284286247,1.3787416161295971,n1
26,0.0011908656293344495,1.413250537140467,1.3787416161295971,n1
27,0.0010354078555999413,1.4109193701780067,1.3787416161295971,n1
28,0.0010297988015283807,1.4108320944920083,1.3787416161295971,n1
29,0.0008800273474686789,1.4084068710158892,1.3787416161295971,n1
30,0.001003906119762595,1.4104260937134645,1.3787416161295971,n1
31,0.0009697074862300357,1.4098817427547417,1.3787416161295971,n1
32,0.0010451699657293915,1.411070704668085,1.3787416161295971,n1
33,0.001066601813613593,1.4114004864960625,1.3787416161295971,n1
34,0.0008274271072220457,1.407506648846805,1.3787416161295971,n1
