Iteration,Squared_errorServiceRate,SquaredErrorServiceLoss,EstimateServiceRate, EstimateServiceLoss,ActualServiceRate, ActualServiceLoss, Queue
0,0.06354185512832751,1.0697103792537475,1,0,1.252075098191645,1.0342680403327502,n1
1,0.005125183991254007,0.3955854647452259,1.323665488547153,1.6632238931119623,1.252075098191645,1.0342680403327502,n1
2,0.0025623434107262103,0.640611705998507,1.3026946933177048,1.834650265271877,1.252075098191645,1.0342680403327502,n1
3,0.00045412406292195153,0.4470114632746071,1.2733852850261604,1.7028571991400159,1.252075098191645,1.0342680403327502,n1
4,0.0005766998640400101,0.32444143895501265,1.276089674266188,1.6038656517699934,1.252075098191645,1.0342680403327502,n1
5,0.00012275344612358907,0.42412417876691827,1.2631545136150142,1.6855162102088108,1.252075098191645,1.0342680403327502,n1
6,7.062033193346705e-05,0.3737627116387939,1.260478688610833,1.645629399627557,1.252075098191645,1.0342680403327502,n1
7,5.0221658183664674e-05,0.4719037714484692,1.2591618222714767,1.7212205652196373,1.252075098191645,1.0342680403327502,n1
8,9.974154481923774e-05,0.3589923376324238,1.262062167071914,1.6334277332631273,1.252075098191645,1.0342680403327502,n1
9,1.6981422372361645e-06,0.47184218224578195,1.2533782260584472,1.7211757359118447,1.252075098191645,1.0342680403327502,n1
10,1.645150414416326e-06,0.3562038647951863,1.2533577323617873,1.6310962105753974,1.252075098191645,1.0342680403327502,n1
11,5.651757629197027e-07,0.40318833666660786,1.2528268799172275,1.669239170910045,1.252075098191645,1.0342680403327502,n1
12,6.929499189533132e-06,0.4803237897799196,1.2494427039982285,1.7273219991122377,1.252075098191645,1.0342680403327502,n1
13,2.2576923469266506e-06,0.46494158351948106,1.2505725362638276,1.7161342907950246,1.252075098191645,1.0342680403327502,n1
14,1.9046869004114968e-05,0.40756254486627075,1.2477108263160495,1.6726742941134214,1.252075098191645,1.0342680403327502,n1
15,1.3750644666303235e-05,0.42681449589561266,1.2483669120223295,1.6875784534562612,1.252075098191645,1.0342680403327502,n1
16,1.0224664966178316e-05,0.502211589675347,1.2488774951884287,1.7429369261146412,1.252075098191645,1.0342680403327502,n1
17,1.6293084842145815e-06,0.5902605138498142,1.2507986545053766,1.8025521764762829,1.252075098191645,1.0342680403327502,n1
18,3.2472670323745857e-07,0.543376332054708,1.251505250226625,1.7714086863798313,1.252075098191645,1.0342680403327502,n1
19,2.21219343411917e-07,0.3696324391023239,1.2525454377959864,1.6422420850931527,1.252075098191645,1.0342680403327502,n1
20,2.1696213788395322e-05,0.33041023278236686,1.2567330176615796,1.609081255892698,1.252075098191645,1.0342680403327502,n1
21,1.905998499189945e-07,0.46969906909095516,1.2525116756188204,1.7196139888076465,1.252075098191645,1.0342680403327502,n1
22,1.3679974026525045e-05,0.37869316427300204,1.2557737430822131,1.6496485439831357,1.252075098191645,1.0342680403327502,n1
23,6.19526415133847e-08,0.42874525881146547,1.2523240010673082,1.689054462619793,1.252075098191645,1.0342680403327502,n1
24,4.104822865291513e-06,0.32945619138350674,1.254101134436457,1.6082507851809789,1.252075098191645,1.0342680403327502,n1
25,1.1146138671144624e-06,0.5771968685971824,1.2510193454426008,1.7940027760117123,1.252075098191645,1.0342680403327502,n1
26,1.6746956068937447e-05,0.42622706293922946,1.247982793697972,1.6871287168474485,1.252075098191645,1.0342680403327502,n1
27,2.798818132102658e-05,0.38097558005776055,1.2467847124475782,1.6515002333183078,1.252075098191645,1.0342680403327502,n1
28,9.256424325427055e-06,0.5219968080130815,1.2490326609572182,1.7567615060561999,1.252075098191645,1.0342680403327502,n1
29,1.6186522931435937e-05,0.4138471073970633,1.2480518503827926,1.677577536140999,1.252075098191645,1.0342680403327502,n1
30,5.187337865868999e-06,0.4081906974672858,1.249797525390203,1.6731660740339707,1.252075098191645,1.0342680403327502,n1
31,4.4854408199787956e-07,0.353566339239767,1.2527448325285264,1.6288824862048354,1.252075098191645,1.0342680403327502,n1
32,1.4789887750854865e-05,0.6365065121484305,1.2559208605024041,1.8320816226616239,1.252075098191645,1.0342680403327502,n1
33,1.5533348133336756e-05,0.5727237104261351,1.2481338613130324,1.7910531554256246,1.252075098191645,1.0342680403327502,n1
34,1.9470180916738882e-06,0.42588201368609574,1.2534704540930817,1.6868644038577822,1.252075098191645,1.0342680403327502,n1
35,2.4546855338581306e-07,0.4365272633031666,1.2515796503605006,1.6949701390907053,1.252075098191645,1.0342680403327502,n1
36,7.058883401771141e-06,0.5739967868822989,1.2547319541158102,1.7918937968130186,1.252075098191645,1.0342680403327502,n1
37,4.311258468272629e-06,0.5994350388793914,1.2499987411731455,1.808499942852526,1.252075098191645,1.0342680403327502,n1
38,2.484397164607506e-06,0.39292577931417844,1.253651295249315,1.6611059614209518,1.252075098191645,1.0342680403327502,n1
39,6.58989585288851e-08,0.5679357022051875,1.251818390267091,1.7878831292244122,1.252075098191645,1.0342680403327502,n1
40,8.172079702818315e-06,0.32577406296503664,1.2492164132312449,1.6050342472555468,1.252075098191645,1.0342680403327502,n1
